0 [0.00e+00, 1.00e+00]
15700 [-1.69e-01, 1.97e-02]
15800 [-1.73e-01, 1.72e-02]
15900 [-1.76e-01, 1.47e-02]
16000 [-1.79e-01, 1.22e-02]
16100 [-1.82e-01, 9.80e-03]
16200 [-1.85e-01, 7.38e-03]
16300 [-1.88e-01, 4.96e-03]
16400 [-1.91e-01, 2.59e-03]
16500 [-1.94e-01, 1.86e-04]
16600 [-1.97e-01, -2.25e-03]
16700 [-2.00e-01, -4.70e-03]
16800 [-2.03e-01, -7.01e-03]
16900 [-2.06e-01, -9.36e-03]
17000 [-2.09e-01, -1.17e-02]
17100 [-2.12e-01, -1.40e-02]
17200 [-2.15e-01, -1.63e-02]
17300 [-2.18e-01, -1.87e-02]
17400 [-2.21e-01, -2.09e-02]
17500 [-2.24e-01, -2.31e-02]
17600 [-2.27e-01, -2.55e-02]
17700 [-2.30e-01, -2.77e-02]
17800 [-2.33e-01, -2.99e-02]
17900 [-2.36e-01, -3.22e-02]
18000 [-2.39e-01, -3.43e-02]
18100 [-2.42e-01, -3.66e-02]
18200 [-2.45e-01, -3.88e-02]
18300 [-2.48e-01, -4.09e-02]
18400 [-2.51e-01, -4.32e-02]
18500 [-2.54e-01, -4.53e-02]
18600 [-2.57e-01, -4.74e-02]
18700 [-2.60e-01, -4.96e-02]
18800 [-2.64e-01, -5.18e-02]
18900 [-2.67e-01, -5.37e-02]
19000 [-2.70e-01, -5.59e-02]
19100 [-2.73e-01, -5.80e-02]
19200 [-2.76e-01, -6.01e-02]
19300 [-2.79e-01, -6.22e-02]
19400 [-2.82e-01, -6.42e-02]
19500 [-2.85e-01, -6.63e-02]
19600 [-2.88e-01, -6.84e-02]
19700 [-2.91e-01, -7.03e-02]
19800 [-2.94e-01, -7.23e-02]
19900 [-2.97e-01, -7.43e-02]
20000 [-3.00e-01, -7.63e-02]
20100 [-3.03e-01, -7.83e-02]
20200 [-3.05e-01, -8.04e-02]
